id	lbl	factor	x	y
HC2_BND	HC1_ACS	HC1_ACS	3.24384089220844	-1.16292233420016
HC4_BND	HC1_BND	HC1_BND	3.97289935363636	-0.540417927519341
HC1_NAIVE 	HC1_MEMORY	HC1_MEMORY	4.09885337914972	1.08452849398046
HC2_NAIVE 	HC1_NAIVE 	HC1_NAIVE 	3.28406372466032	0.367286703761509
HC4_NAIVE 	HC2_ACS	HC2_ACS	4.28366684760887	-1.10847962702223
HC1_ACS	HC2_BND	HC2_BND	3.42268744492976	-1.26677963521101
HC2_ACS	HC2_MEMORY	HC2_MEMORY	4.24803162133792	0.880431081756716
HC4_ACS	HC2_NAIVE 	HC2_NAIVE 	3.04396896386222	-1.4790576304509
HC1_MEMORY	HC257_ACS	HC257_ACS	-2.07236299589306	2.29638090509879
HC2_MEMORY	HC257_BND	HC257_BND	-2.83458802475852	-0.512530333154082
HC4_MEMORY	HC257_MEMORY	HC257_MEMORY	-0.961634682148617	3.17037120766734
HC257_BND	HC257_NAIVE	HC257_NAIVE	-1.77541618961963	-2.93990528156862
HC258_BND	HC258_ACS	HC258_ACS	-1.70147722624023	1.1517700994885
HC259_BND	HC258_BND	HC258_BND	-4.00022648911809	-0.555829966130805
HC260_BND	HC258_MEMORY	HC258_MEMORY	-1.83022650481797	3.17037120766734
HC257_NAIVE	HC258_NAIVE	HC258_NAIVE	-3.31555231384399	-2.93990528156862
HC258_NAIVE	HC259_ACS	HC259_ACS	-3.964190367827	2.45086818298174
HC259_NAIVE	HC259_BND	HC259_BND	-4.00022648911809	-0.38314529343581
HC260_NAIVE	HC259_MEMORY	HC259_MEMORY	-2.88865637742581	3.12732485750031
HC257_ACS	HC259_NAIVE	HC259_NAIVE	-3.50384973478524	-2.88346074034232
HC258_ACS	HC260_ACS	HC260_ACS	-3.98328572299956	2.57023561780198
HC259_ACS	HC260_BND	HC260_BND	-4.00022648911809	-0.739717759850515
HC260_ACS	HC260_MEMORY	HC260_MEMORY	-2.41371226995193	3.17037120766734
HC257_MEMORY	HC260_NAIVE	HC260_NAIVE	-2.53751227450376	-2.93990528156862
HC258_MEMORY	HC4_ACS	HC4_ACS	4.28366684760887	-0.310754736687051
HC259_MEMORY	HC4_BND	HC4_BND	3.61478119765497	-1.57148307277143
HC260_MEMORY	HC4_MEMORY	HC4_MEMORY	4.28366684760887	0.239801492881874
HC1_BND	HC4_NAIVE 	HC4_NAIVE 	3.66169729276626	-2.27506393914604
