sample_id	SampleID	CellType	SampleType	..filter..	IGHJ1	IGHJ2	IGHJ2P	IGHJ3	IGHJ4	IGHJ5	IGHJ6
HC258_ACS	HC258	ACS	H	conv:MiXcr	0.020240269258135234	0.021879055383918485	0.0	0.06556909349730064	0.527837883858199	0.22636678815914515	0.1381068098433116
HC259_ACS	HC259	ACS	H	conv:MiXcr	0.014705465439585482	0.01719404315718213	0.0	0.163411467072196	0.518474236699183	0.2118116070782109	0.07440308055365243
HC260_ACS	HC260	ACS	H	conv:MiXcr	0.01322216618498579	0.010864703763732962	0.0	0.14956726470683285	0.4405030322545077	0.18459242067973294	0.2012503124102175
S253_ACS	S253	ACS	S	conv:MiXcr	0.02682190440086383	0.06422861118817036	0.0	0.13621840055184573	0.3560014292497741	0.30877770340350574	0.1079518512058501
S262_ACS	S262	ACS	S	conv:MiXcr	0.005212054098622063	0.014537389558526962	0.0	0.11449724304143961	0.4945957530004224	0.18465075110290197	0.18650670919809706
S274_ACS	S274	ACS	S	conv:MiXcr	0.019159365882087397	0.05717410445285233	0.0	0.07681414333306644	0.44322727245639837	0.28322811989077146	0.120396893984834
S307_ACS	S307	ACS	S	conv:MiXcr	0.006952017485346583	0.016474777139733623	0.0	0.13223876227536352	0.3837873609539988	0.3719893467362086	0.08855763540935875
HC257_MEMORY	HC257	MEMORY	H	conv:MiXcr	0.022795670918436442	0.0399530257734976	3.1481385055154172E-6	0.13110737620068313	0.5056634511714969	0.1899429367302492	0.11053429106714115
HC258_MEMORY	HC258	MEMORY	H	conv:MiXcr	0.02030116239102465	0.03584986866675758	2.771111437486264E-6	0.1348201136565719	0.5080611131717367	0.17058962009163636	0.13037525091084518
HC259_MEMORY	HC259	MEMORY	H	conv:MiXcr	0.02114419251569438	0.03734555024558818	2.8132241239614874E-6	0.12655288721641292	0.5103582412244843	0.18557714256126168	0.11901907301244465
HC260_MEMORY	HC260	MEMORY	H	conv:MiXcr	0.017165316335703194	0.023857514819879452	0.0	0.10846314462348562	0.5094508086166786	0.17572780227919405	0.16533531332506898
S253_MEMORY	S253	MEMORY	S	conv:MiXcr	0.024802223540839313	0.039502989485603573	0.0	0.11544522966943438	0.48415953242900706	0.23237422655351547	0.10371569832161014
S262_MEMORY	S262	MEMORY	S	conv:MiXcr	0.022384580641924307	0.029304370333748504	3.611581258780892E-6	0.1542145197499381	0.49400653090105473	0.1737676206849699	0.1263186661071157
S274_MEMORY	S274	MEMORY	S	conv:MiXcr	0.039054442377613935	0.020691783900812107	0.0	0.12881489589939216	0.5747829981324913	0.1572932075251229	0.07936257216457758
S307_MEMORY	S307	MEMORY	S	conv:MiXcr	0.024798291479196592	0.03170356683856136	2.685832500725316E-6	0.14500541088165295	0.5169099514245631	0.18601001567022246	0.09556997787331285
