sample_id	..filter..	count	diversity	mean_frequency	geomean_frequency	nc_diversity	nc_frequency	mean_cdr3nt_length	mean_insert_size	mean_ndn_size	convergence
HC260_BND	conv:MiXcr	323440	9409	1.0628122010840411E-4	1.3556485760247939E-5	1144	0.02410338857284202	52.56617610685135	16.752414667326242	30.582800519416274	1.0542296918767506
S253_BND	conv:MiXcr	294508	5284	1.892505677517001E-4	1.1992420183924096E-5	635	0.03561533133225718	49.5834442527877	15.346574626156166	28.0562870957665	1.0597673485760128
S262_BND	conv:MiXcr	286674	3228	3.097893432465922E-4	1.3097912259023615E-5	469	0.05955894151544902	48.798460969603106	19.456089495385	32.39426665829479	1.0453367875647668
S274_BND	conv:MiXcr	270133	6506	1.537042729787978E-4	1.1693708420116556E-5	847	0.023084924833324	48.26506942876287	65.09126985595984	77.14349227972887	1.0723586616119993
S307_BND	conv:MiXcr	241392	5732	1.7445917655268268E-4	1.7111507185960757E-5	741	0.02303307483263721	49.82254590044409	37.92791393252469	50.39932972095181	1.0638455827765405
HC257_NAIVE	conv:MiXcr	401135	84457	1.1840344790835311E-5	6.3452710938591744E-6	6002	0.03192940032656526	51.2046941802635	14.234933376544056	28.13169880464183	1.1280636845690473
HC258_NAIVE	conv:MiXcr	388953	31739	3.150697879580589E-5	1.0759948886653342E-5	2323	0.026532768740698605	51.67716664995513	12.698832506755314	26.7839790411695	1.0961113413454897
HC259_NAIVE	conv:MiXcr	367695	16030	6.238303181533928E-5	1.3140343190449195E-5	1347	0.022695440514555833	51.2258910238105	12.91910958810971	26.89567712370307	1.0471648811079175
HC260_NAIVE	conv:MiXcr	363492	35339	2.829734853843871E-5	9.79851931666408E-6	2595	0.023458563049529244	51.85609311896823	15.198417021557558	29.27102659755923	1.108535399479281
S253_NAIVE	conv:MiXcr	316319	28793	3.4730663702979045E-5	1.0622918011883387E-5	2480	0.02768091704893018	49.81735210341459	16.044034661212258	30.259955930563766	1.1074230769230768
S262_NAIVE	conv:MiXcr	366058	30730	3.254149040026079E-5	1.0472496096990884E-5	2207	0.024605390402614627	49.239606838260606	12.618074184965224	26.455119134126285	1.1134864845278643
S274_NAIVE	conv:MiXcr	371157	29721	3.364624339692548E-5	9.022338706657984E-6	2190	0.01880066925856161	47.57072882904	27.34121678966044	40.94591237670312	1.0825744882348656
S307_NAIVE	conv:MiXcr	359636	12691	7.879599716334622E-5	1.6128691289900413E-5	1451	0.021569030909030135	48.89706258550312	31.53345883059538	45.89843063542026	1.0687157894736843
HC257_ASC	conv:MiXcr	347723	8243	1.2131505519835434E-4	1.3871010401990474E-5	656	0.003229582167414839	47.268903696333	82.48824782945046	94.59430351170329	1.0769532270708126
HC258_ASC	conv:MiXcr	396635	4715	2.120890774125162E-4	1.0070878976863818E-5	416	0.0035649904824334414	43.914667137292476	56.68130649085431	68.43666343111425	1.0571748878923768
HC259_ASC	conv:MiXcr	389379	5514	1.8135654697134536E-4	1.0532059091983013E-5	550	0.00503365615505726	45.30986776379825	53.6329925342661	64.84723624026977	1.0942647350664814
HC260_ASC	conv:MiXcr	353346	4247	2.3546032493525047E-4	1.4390736429252961E-5	467	0.003483837371867778	47.712485778811704	52.18963282448365	62.53543552212279	1.0814871403106696
S253_ASC	conv:MiXcr	395945	1749	5.717552887364264E-4	6.155994297923276E-6	134	0.0010077157180921645	46.845294169644774	61.51238934700527	71.56994532068848	1.0625759416767921
S262_ASC	conv:MiXcr	351301	1458	6.858710562414221E-4	1.7366414693170827E-5	144	0.0014090480812750197	45.70390633673118	46.1566548344582	57.419603132356585	1.0657894736842106
S274_ASC	conv:MiXcr	384877	1624	6.157635467980322E-4	1.6991159227968654E-5	198	0.001566734307324148	46.218830951187	61.13765696573191	77.20976052089368	1.0642201834862386
S307_ASC	conv:MiXcr	372266	992	0.0010080645161290392	9.535293467101847E-6	120	0.0015445944566519654	45.372967179382485	85.58659668086798	95.78830997190181	1.0365726227795193
HC257_MEMORY	conv:MiXcr	317648	36735	2.7221995372262623E-5	9.30112874512363E-6	2229	0.013417367652244867	47.26945549790963	27.85464413438775	38.74616556691684	1.137517805165046
HC258_MEMORY	conv:MiXcr	360866	34162	2.9272290849489844E-5	9.331075194464297E-6	2434	0.018034395038602342	47.13726978989431	24.3078705114918	35.98653516817877	1.1234174093196094
HC259_MEMORY	conv:MiXcr	355464	19651	5.0887995521856285E-5	1.4031406331978056E-5	1336	0.013435959759638865	47.38560585600792	19.255753043908808	30.811120113429208	1.087192254495159
HC260_MEMORY	conv:MiXcr	347270	12516	7.989773090444074E-5	1.771690764690805E-5	1000	0.013418953551991436	47.7264318829729	24.6873988539177	36.016091225847326	1.0728613063603634
S253_MEMORY	conv:MiXcr	270258	6414	1.5590894917368687E-4	9.840477212139443E-6	588	0.0203768251078596	50.138734098528076	23.01002745524647	35.15570306891933	1.036020029074463
S262_MEMORY	conv:MiXcr	276887	18112	5.52120141342783E-5	1.6077440169029882E-5	1573	0.024703218280383247	48.55723092814036	21.597153351367165	33.595264494179936	1.1136251844564682
S274_MEMORY	conv:MiXcr	336607	9867	1.01347927434882E-4	5.795733921193545E-6	629	0.01570080241943898	48.03204924437103	49.81184883261489	60.77222992985886	1.0410424140113947
S307_MEMORY	conv:MiXcr	372324	14152	7.066139061616735E-5	1.6201779225506114E-5	1318	0.01646952654139926	47.74630966577497	39.71656675368765	52.02763184753064	1.090460779781168
