sample_id	..filter..	count	diversity	mean_frequency	geomean_frequency	nc_diversity	nc_frequency	mean_cdr3nt_length	mean_insert_size	mean_ndn_size	convergence
S22_BND	conv:MiXcr	33518	2165	4.6189376443416696E-4	4.120436678925146E-5	98	0.0032818187242675575	49.2523420251805	75.46927024285459	88.73405334447163	1.0393662986077772
S25_BND	conv:MiXcr	41346	2334	4.2844901456727107E-4	3.309672418546388E-5	127	0.00382140956803561	45.5693658395008	44.55429787645721	56.377134426546704	1.0268367795864497
S229_BND	conv:MiXcr	44729	4669	2.141786249732287E-4	3.043711971023969E-5	239	0.05562386818395287	44.04283574414809	16.76279371325091	28.086051554919628	1.0482712168837
HC1_BND	conv:MiXcr	33946	5960	1.677852348993318E-4	6.704056464868569E-5	598	0.039150415365580865	51.32557591468803	16.561391621987863	30.19198138219525	1.1395793499043978
HC2_BND	conv:MiXcr	41772	9878	1.012350678275031E-4	5.382586998070344E-5	731	0.029182227329311673	51.50406971176865	14.571938140381116	29.02626161064828	1.1388056260087618
HC4_BND	conv:MiXcr	25361	1450	6.89655172413797E-4	1.0967106021081061E-4	177	0.02559047356176823	50.81857970900201	16.176057726430347	29.57690942786168	1.0748702742772425
S22_NAIVE 	conv:MiXcr	33600	8595	1.1634671320535431E-4	6.397540373753702E-5	604	0.030357142857142458	51.001577380952384	13.630595238095237	27.62613095238095	1.1360031720856463
S25_NAIVE 	conv:MiXcr	46706	9666	1.0345541071797663E-4	4.9630973450822016E-5	744	0.03029589346122621	50.9658502119642	14.542350019269472	28.362929816297694	1.1412042502951594
S229_NAIVE 	conv:MiXcr	52850	13523	7.394808844192015E-5	4.0390703083903405E-5	1012	0.03103122043519436	49.9561967833491	14.142346263008514	27.70484389782403	1.1339091061546203
HC1_NAIVE 	conv:MiXcr	41612	10084	9.916699722333115E-5	5.2539064585199215E-5	793	0.03575891569739598	50.55940594059406	13.339901951360185	27.022829952898203	1.1435699705148559
HC2_NAIVE 	conv:MiXcr	35197	3211	3.114294612270377E-4	7.882937056486091E-5	306	0.026820467653492986	50.74708071710657	12.84504361167145	27.17339545984033	1.1038157442420076
HC4_NAIVE 	conv:MiXcr	33319	9610	1.0405827263267521E-4	6.308147978098202E-5	686	0.03241393799333658	50.27749932470962	14.3716798223236	27.96083315825805	1.1166627933999536
S22_ACS	conv:MiXcr	36160	1125	8.888888888888868E-4	7.965731710847346E-5	132	0.005282079646017723	46.326714601769915	59.52264933628319	69.26460176991151	1.0693916349809887
S25_ACS	conv:MiXcr	42054	928	0.0010775862068965426	6.832633324518914E-5	96	0.015218528558520041	47.115256574879915	14.587387644457127	25.050934512769295	1.1008303677342823
S229_ACS	conv:MiXcr	44825	1055	9.478672985781969E-4	5.0369853154984924E-5	100	0.004127161182375924	47.44292247629671	63.8261684327942	74.34732849972114	1.063508064516129
HC1_ACS	conv:MiXcr	36318	4202	2.379819133745825E-4	7.650970848078484E-5	419	0.03282119059419586	51.04221047414505	14.551434550360703	28.523569579822677	1.1477738322862605
HC2_ACS	conv:MiXcr	42581	922	0.0010845986984815642	4.992054383463931E-5	103	0.00481435381977876	46.94579742138512	24.703858528451658	37.066884291115755	1.0394588500563697
HC4_ACS	conv:MiXcr	28636	627	0.0015948963317384455	1.0395995516787314E-4	94	0.005761977929878468	48.580143874842854	47.3627601620338	59.243888811286496	1.1156583629893237
S22_MEMORY	conv:MiXcr	39331	2677	3.7355248412402123E-4	1.1486494169991853E-4	175	0.012992296153161657	50.299280465790346	28.136533523175103	40.841321095319216	1.1117109634551494
S25_MEMORY	conv:MiXcr	55005	1432	6.983240223463584E-4	4.462525208952241E-5	82	0.012289791837105709	48.22636123988728	23.908590128170168	35.893864194164166	1.027997128499641
S229_MEMORY	conv:MiXcr	69694	2710	3.690036900368983E-4	7.382081735321478E-5	219	0.01668723276035233	48.327933538037705	21.49532240938962	33.07167044508853	1.0788216560509554
HC1_MEMORY	conv:MiXcr	39976	6192	1.6149870801033804E-4	7.477177746979803E-5	350	0.017960776465879673	46.35238643185912	19.16822593556134	30.148864318591155	1.125
HC2_MEMORY	conv:MiXcr	56681	7208	1.3873473917868628E-4	5.654389028395896E-5	457	0.018013090806442995	46.366507295213566	20.751204107196415	31.712954958451686	1.1329770512417479
HC4_MEMORY	conv:MiXcr	67738	1597	6.261740763932365E-4	6.52685687081204E-5	134	0.01338982550414832	47.86469928252975	22.096799433109922	34.07369570994124	1.0417482061317678
HC257_BND	conv:MiXcr	350143	41400	2.415458937198253E-5	8.70001861133296E-6	3238	0.02527253150855547	51.967933101618485	23.707188205961565	36.52250080681322	1.1219816255183068
HC258_BND	conv:MiXcr	298620	11412	8.762705923589693E-5	1.3666843768314711E-5	1140	0.02625410220347019	53.651419864711	20.11154309825196	34.15544839595473	1.0498620055197792
HC259_BND	conv:MiXcr	362332	10383	9.631127805065812E-5	1.2375553698623851E-5	1136	0.035296358036273456	51.92472649393374	15.406850623185365	28.6180022741574	1.0521888933927848
