sample_id	SampleID	CellType	SampleType	..filter..	IGHV1-17	IGHV1-18	IGHV1-2	IGHV1-24	IGHV1-3	IGHV1-45	IGHV1-46	IGHV1-58	IGHV1-67	IGHV1-69	IGHV1-69-2	IGHV1-69D	IGHV1-8	IGHV2-10	IGHV2-26	IGHV2-5	IGHV2-70	IGHV3-11	IGHV3-13	IGHV3-15	IGHV3-16	IGHV3-20	IGHV3-21	IGHV3-22	IGHV3-23	IGHV3-25	IGHV3-30	IGHV3-33	IGHV3-35	IGHV3-36	IGHV3-38	IGHV3-41	IGHV3-43	IGHV3-47	IGHV3-48	IGHV3-49	IGHV3-52	IGHV3-53	IGHV3-6	IGHV3-60	IGHV3-62	IGHV3-64	IGHV3-65	IGHV3-66	IGHV3-7	IGHV3-72	IGHV3-73	IGHV3-74	IGHV3-75	IGHV3-79	IGHV3-9	IGHV4-28	IGHV4-30-2	IGHV4-31	IGHV4-34	IGHV4-39	IGHV4-4	IGHV4-55	IGHV4-59	IGHV4-61	IGHV4-80	IGHV5-10-1	IGHV5-51	IGHV5-78	IGHV6-1	IGHV7-27	IGHV7-34-1	IGHV7-4-1	IGHV7-81
S22_BND	S22	BND	S	conv:MiXcr	0.0	0.0862521543916711	2.3867770153350633E-4	0.0	0.0	0.0	3.5801655230025946E-4	0.0019989257503431157	0.0	7.160331046005189E-4	0.0	0.0	0.0073095046094636355	0.0	0.0	0.0	0.0	0.0056685954114208004	3.281818396085712E-4	0.03809892810728588	0.0	2.685124142251946E-4	0.03794975454382737	0.0	0.03959066374187009	0.0	0.0	0.051375375255086946	0.0	0.0	8.950413807506488E-5	2.9834712691688294E-5	6.861983919088306E-4	0.0	3.8785126499194775E-4	8.950413807506487E-4	0.0	0.06820215321319983	0.0	0.0	0.0	5.668595411420775E-4	0.0	2.9834712691688294E-5	0.05605942514768208	8.950413807506488E-5	2.3867770153350633E-4	0.0036398349483859715	0.0	0.0	0.0024762811534101282	7.160331046005189E-4	4.7735540306701265E-4	0.0682916573512746	0.13679215769139125	0.0845217410555534	0.0	1.1933885076675318E-4	0.18942059087953023	8.950413807506487E-4	0.0	1.1933885076675318E-4	0.050181986747419624	0.0	0.058118020323408695	0.0	0.0	0.006802314493704933	0.0
S25_BND	S25	BND	S	conv:MiXcr	0.0	0.005635369242490229	4.837226817588186E-5	0.0	0.0	0.0	1.4511680452764558E-4	2.418613408794093E-5	0.0	1.4511680452764558E-4	0.0	0.0	7.255840226382279E-5	0.0	0.0	0.0	0.0	0.04421225311275561	4.8372268175881847E-4	0.039979679647366234	0.0	1.693029386155865E-4	0.05141972107096225	2.418613408794093E-5	0.13863492059207938	0.0	7.255840226382279E-5	0.06593140152372652	2.418613408794093E-5	0.0	9.674453635176372E-5	4.837226817588186E-5	7.981424249020509E-4	0.0	2.1767520679146838E-4	9.190730953417559E-4	0.0	0.05901416717457561	0.0	0.0	0.0	7.739562908141101E-4	0.0	7.255840226382279E-5	0.029748944928167466	3.144197431432321E-4	2.660474749673503E-4	0.015430753548106352	0.0	0.0	0.0020558213974749768	0.0010158176316935196	1.9348907270352745E-4	0.04846901271223355	0.0032651281018720333	0.1573066161079692	2.1767520679146838E-4	7.255840226382279E-5	0.15169543299956792	0.11251389577710111	0.0	0.008997241880714027	0.01117399394862873	0.0	0.04532481528080119	0.0	0.0	0.0029748944928167354	0.0
S229_BND	S229	BND	S	conv:MiXcr	0.0	0.003219387547228915	3.3535286950301215E-4	1.117842898343374E-4	2.9063915356927723E-4	0.0	8.048468868072289E-4	0.0	0.0	7.824900288403615E-4	0.0	0.0	6.483488810391566E-4	0.0	0.0	0.0	0.0	0.09617920297346333	8.94274318674699E-4	0.0018779760692168672	0.0	7.154194549397591E-4	0.0069082691117621055	0.0	0.13074290539024017	0.0	2.0121172170180736E-4	0.19063692788347664	0.0	0.0	2.0121172170180736E-4	2.235685796686748E-5	0.001810905495316265	6.707057390060245E-5	3.5770972746987964E-4	0.0018556192112499999	0.0	0.03273044006349412	0.0	2.235685796686748E-5	0.0	0.001721478063448795	0.0	4.471371593373496E-5	0.08649868347380982	4.918508752710844E-4	5.365645912048194E-4	0.05379060026828349	0.0	0.0	0.00632699080462354	0.0024368975183885542	7.601331708734939E-4	0.012497483603478908	0.07127366319837314	0.011692636716671633	8.048468868072291E-4	1.341411478012049E-4	0.08788480866775476	0.06452189209237946	2.235685796686748E-5	2.2356857966867485E-4	0.033043436075030345	0.0	0.09354109373337319	0.0	0.0	3.3535286950301215E-4	0.0
HC1_BND	HC1	BND	H	conv:MiXcr	0.0	0.032050901172450574	0.003299357473634628	0.0014434688947151505	6.775466240499683E-4	0.0	0.01036940920285171	5.891709774347553E-5	0.0	0.01649678736817313	0.0	0.0	0.009485652736699575	0.0	0.0	0.0	0.0	0.0539386029841522	0.00391798699994112	0.010310492105108229	0.0	0.0016791372856890525	0.046191004630885074	4.713367819478043E-4	0.08651975803629243	0.0	0.005361455894656272	0.1566605628999057	0.0	0.0	0.0010310492105108217	2.9458548871737765E-5	0.022005536007187992	0.0	0.00527308024804106	0.01355093248099939	0.0	0.03213927681906587	0.0	0.0	0.0	0.004183113939786764	0.001355093248099937	2.9458548871737765E-5	0.030636890826607126	2.3566839097390212E-4	0.002857479240558561	0.007777056902138774	0.0	0.0	0.07942024775820408	0.015318445413303664	0.0043009481352737165	0.020061271781653355	0.0705237659989392	0.06374829975844071	0.009691862578801726	0.0024450595563542325	0.10272195991574799	0.006922758984858382	1.1783419548695106E-4	3.240440375891154E-4	0.04486536993165691	0.0	0.01313851279679506	0.0	0.0	0.006363046556295367	0.0
HC2_BND	HC2	BND	H	conv:MiXcr	0.0	0.05427079798190226	3.5909217897156205E-4	0.0017954608948578114	8.618212295317492E-4	2.633342645791455E-4	0.008139422723355418	1.4363687158862483E-4	0.0	0.03437709126687775	0.0	1.1969739299052068E-4	0.008690030731111811	0.0	2.3939478598104133E-5	0.0	0.0	0.051302302635737325	0.003782437618500449	0.010533370583165846	0.0	7.900027937374367E-4	0.05877141995834593	3.3515270037345787E-4	0.07347025981758204	0.0	0.0026812216029876634	0.19718948521258495	0.0	0.0	2.633342645791455E-4	0.0	0.01687733241166344	0.0	0.006607296093076743	0.009073062388681483	1.6757635018672896E-4	0.030115864076415054	2.3939478598104133E-5	0.0	0.0	0.009839125703820817	0.0	0.0	0.016326724403907047	4.7878957196208266E-5	0.002393947859810412	0.00579335382074121	0.0	0.0	0.03528679145360554	0.007923967415972483	0.0025136452528009313	5.506080077563952E-4	0.05257109500143687	0.06427750003590992	0.006535477657282429	2.3939478598104138E-4	0.11593889485061874	0.0028009189959781774	0.0	0.017858851034185712	0.07358995721057257	0.0	0.006679114528871062	0.0	0.0	0.007804270022981959	0.0
HC4_BND	HC4	BND	H	conv:MiXcr	0.0	0.023027480840661092	0.006939788746500598	1.1829185363353283E-4	3.943061787784428E-5	0.0	0.008319860372225134	1.1829185363353283E-4	0.0	0.00820156851859161	0.0	0.0	0.006190607006821553	0.0	0.0	0.0	0.0	0.05011631532274014	0.006151176388943712	0.005204841559875447	0.0	0.008280429754347299	0.07724458042269704	0.0	0.14285712857143001	0.0	1.1829185363353285E-4	0.18043450740901568	0.0	0.0	0.004021923023540117	0.0	0.024092107523362865	0.0	0.007136941835889815	0.006584913185599996	0.0	0.03950947911360003	0.0	0.0	0.0	0.012381214013643097	0.0	0.0	0.0439257083159186	3.943061787784428E-5	1.1829185363353283E-4	2.365837072670657E-4	0.0	0.0	0.010449113737628728	0.0046528129095856265	0.0053231334135089795	0.04853909060762635	0.049051688640038345	0.06371987849059643	0.00985765446946107	0.0	0.07677141300816298	0.01044911373762873	0.0	0.006821496892867065	0.018887265963487433	0.0	0.032530259749221566	0.0	0.0	0.001537794097235928	0.0
S22_NAIVE 	S22	NAIVE 	S	conv:MiXcr	0.0	0.07348213550893012	0.0013690474821428694	0.0017559522053571587	9.8214275892858E-4	1.4880950892857275E-4	0.015089284205357217	0.0	0.0	0.04148809108928656	0.0	4.7619042857143277E-4	0.014434522366071506	0.0	0.0	0.0	0.0	0.03958332937500093	0.0030357139821428855	0.010059522803571471	0.0	8.928570535714363E-4	0.0430357099821438	3.273809196428601E-4	0.05372023272321535	0.0	0.00229166643750002	0.12636903498214533	0.0	0.0	2.6785711607143093E-4	0.0	0.010327379919642903	0.0	0.002053571223214304	0.008124999187500072	1.1904760714285819E-4	0.021696426401785797	0.0	0.0	0.0	0.007261904035714354	0.0	2.9761901785714548E-5	0.013779760526785775	0.0	0.001755952205357159	0.003809523428571464	0.0	0.0	0.026666664000000083	0.009494046669642908	0.0036904758214286056	0.0026785711607143106	0.060535708232144075	0.08279761076785869	0.010119046607142943	2.6785711607143093E-4	0.15833331749999605	0.006190475571428632	0.0	0.025029759401785836	0.10345237060714498	0.0	0.008958332437500051	0.0	0.0	0.004017856741071469	0.0
S25_NAIVE 	S25	NAIVE 	S	conv:MiXcr	0.0	0.07189653715154441	0.0015415576756733645	0.001627199768766329	9.420630240226123E-4	1.498736629126883E-4	0.01378837698796729	0.0	0.0	0.04104397311480359	0.0	4.067999421915825E-4	0.011540272044276975	0.0	0.0	0.0	0.0	0.039759341718409225	0.003361452153898864	0.007964714657645729	0.0	7.921893611099241E-4	0.04990792974992552	5.352630818310298E-4	0.0617479491200279	0.0	0.002033999710957912	0.13649208586691416	0.0	0.0	6.423156981972355E-5	2.1410523273241184E-5	0.010319872217702229	0.0	0.002997473258253766	0.006487388551792096	4.282104654648237E-5	0.022074249494711817	2.1410523273241184E-5	0.0	0.0	0.0051599361088511386	1.7128418618592948E-4	0.0	0.019911786644114415	8.564209309296474E-5	0.002226694420417082	0.0054168623881300365	0.0	0.0	0.030638458804008378	0.008328693553290816	0.0029118311651608	0.010812314252986791	0.04053012055624616	0.07453003151415327	0.011476040474457274	2.569262792788942E-4	0.14370743220999582	0.007600735762000628	0.0	0.02440799653149507	0.09664710205541147	0.0	0.0234231124609259	0.0	0.0	0.0041964625615552725	0.0
S229_NAIVE 	S229	NAIVE 	S	conv:MiXcr	0.0	0.060624402641437196	6.244086414380358E-4	0.0010406810690633931	3.595080056764449E-4	7.00094537369919E-4	0.008571427714285804	3.7842947965941565E-5	1.8921473982970783E-5	0.02034058453169368	0.0	5.487227455061528E-4	0.012336801036897011	0.0	0.0	0.0	0.0	0.04611163209649865	0.00592242135666987	0.0067549662119206	1.1352884389782471E-4	0.002308419825922436	0.054304630331124766	4.3519390160832804E-4	0.0526206191466404	0.0	6.622515894039774E-4	0.0834437002649035	0.0	0.0	3.7842947965941565E-5	5.6764421948912355E-5	0.0099337738410597	3.7842947965941565E-5	0.002535477513718085	0.007984862020813702	1.8921473982970783E-5	0.026830650107852735	0.0	0.0	0.0	0.0012298958088931009	2.64900635761591E-4	1.7029326584673706E-4	0.02121097233491037	3.784294796594157E-4	0.0013623461267738965	0.006754966211920592	0.0	0.0	0.054456002122988616	7.379374853358606E-4	0.0018921473982970783	0.03135288238978267	0.21453167201892978	0.05296120567833408	0.0071901601135289	2.64900635761591E-4	0.10130557170482758	0.01250709430274374	0.0	0.0030463573112582965	0.06147586897067111	0.0	0.014456006122989726	0.0	0.0	0.007095552743614083	3.7842947965941565E-5
HC1_NAIVE 	HC1	NAIVE 	H	conv:MiXcr	0.0	0.04368931601941796	0.0032202246130923727	0.0010814187133519168	2.4031526963375934E-4	0.0	0.008050561532730927	4.806305392675186E-5	1.2015763481687967E-4	0.01151110141545706	0.0	9.612610785350372E-5	0.011054502403152916	0.0	0.0	0.0	0.0	0.044290104193502454	0.005935787159953847	0.01062193491781215	0.0	0.0019225221570700732	0.03438911508459135	1.4418916178025559E-4	0.061280393756609555	0.0	7.449773358646539E-4	0.12493990868259346	0.0	0.0	3.3644137748726306E-4	0.0	0.00956454773142361	0.0	0.0010573871863885408	0.01158319599634719	4.085359583773909E-4	0.023406707262328404	0.0	0.0	0.0	0.004926463027492062	1.682206887436315E-4	5.527251201576465E-4	0.024007495436412812	8.170719167547817E-4	0.0018263960492165693	0.008338939856291444	0.0	0.0	0.046669225362876716	0.021940784117562468	0.006873016711525512	0.04364125296549098	0.06298663217100896	0.08870036602182159	0.015740650161011244	0.002787657127751607	0.16901372913342522	0.008603286652888578	1.2015763481687967E-4	2.4031526963375934E-4	0.0597904390848799	0.0	0.017663172318081448	0.0	0.0	0.0048543684466019294	0.0
HC2_NAIVE 	HC2	NAIVE 	H	conv:MiXcr	0.0	0.059209585805609054	7.671107565985785E-4	0.0011932833991533446	2.272920760292085E-4	0.0	0.008750744927124549	0.0	0.0	0.03398016536636682	0.0	4.545841520584169E-4	0.010114497383299788	0.0	0.0	0.0	0.0	0.04710628275705364	0.0019035711367446208	0.006847173790379903	0.0	0.00457425303008782	0.037361134997301385	5.114071710657191E-4	0.06872744148933141	0.0	0.002954796988379711	0.15359262037674018	0.0	0.0	5.966416995766723E-4	0.0	0.009801970778759633	0.0	0.005312952277182749	0.007415403980452926	0.0	0.020200583257095863	0.0	0.0	0.0	0.0038355537829928943	0.0	0.0	0.01363752456175253	0.0	0.004602664539591469	0.0025002128363212947	0.0	0.0	0.022757619112424462	0.010313377949825342	0.0042049034065403555	0.006761939261868951	0.05577179315566717	0.11196975895388825	0.012472652672102819	0.0	0.1520583988635422	0.0075006385089638776	0.0	0.02102451703270176	0.07233570319629505	0.0	0.013097705881183164	0.0	0.0	0.0035514386879563877	0.0
