1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_SampleID	1_CellType	1_SampleType	1_..filter..	2_SampleID	2_CellType	2_SampleType	2_..filter..
HC1_BND	HC2_BND	5960	9878	525	525	33946	41772	4278	4885	0.9999999999999255	0.9999999999996324	0.12602368467566066	0.11694436464617493	-0.40915304416946047	-0.6310379644662036	8.9175E-6	0.12139917518156797	0.05619374056942742	0.0430625403644136	0.022552648480380338	0.074976998582772	0.00491339583506596	0.0342845948	0.08044243540222837	HC1	BND	H	conv:MiXcr	HC2	BND	H	conv:MiXcr
HC1_BND	HC4_BND	5960	1450	53	53	33946	25361	924	1758	0.9999999999999255	0.9999999999999697	0.02721970187945559	0.06931903316115298	-0.3632797989216502	-0.4858656685304965	6.1328E-6	0.04343781091651236	0.013558521253275967	0.0695228517871443	0.03831053388556349	0.15867893086745086	0.020275747139491516	0.0072040234	0.027654093221809842	HC1	BND	H	conv:MiXcr	HC4	BND	H	conv:MiXcr
HC1_BND	HC1_NAIVE 	5960	10084	67	67	33946	41612	717	303	0.9999999999999255	0.9999999999996635	0.02112178165321392	0.0072815533980582475	0.18435512494210549	0.00643666668998701	1.1148E-6	0.012401587840676055	0.008711728275659279	0.02791040564377393	0.018801402095400276	0.06597478114751236	0.008692303453231916	0.0041935282	0.2508232476596997	HC1	BND	H	conv:MiXcr	HC1	NAIVE 	H	conv:MiXcr
HC1_BND	HC2_NAIVE 	5960	3211	109	109	33946	35197	846	4056	0.9999999999999255	0.9999999999999433	0.024921934837683363	0.11523709407051744	-0.1500886762268881	-0.0357225385612699	5.6956E-6	0.05359040351881504	0.03540352905955039	0.05385484525588231	0.029713155173060623	0.12203770262609102	0.007350731530613084	0.0120282498	0.15572550750580474	HC1	BND	H	conv:MiXcr	HC2	NAIVE 	H	conv:MiXcr
HC1_BND	HC4_NAIVE 	5960	9610	101	101	33946	33319	939	696	0.9999999999999255	0.9999999999999296	0.02766158015671947	0.020888982262372822	-0.09417067209343256	-0.09578653685669757	1.7634E-6	0.024037933714088595	0.016292332560490726	0.07288454306668272	0.039467453148552836	0.10283596195631946	0.0052217647443360115	0.0065291874	0.25850966659815944	HC1	BND	H	conv:MiXcr	HC4	NAIVE 	H	conv:MiXcr
HC1_BND	HC1_ACS	5960	4202	185	185	33946	36318	1692	5107	0.9999999999999255	0.9999999999999066	0.04984386967536675	0.1406189768159039	-0.0715703962887976	-0.0848323374395512	7.387E-6	0.08371973455700474	0.05593994073619995	0.06424894761842807	0.03415842311119224	0.11350603708755419	0.011746958465750381	0.0185426481	0.2729418341016853	HC1	BND	H	conv:MiXcr	HC1	ACS	H	conv:MiXcr
HC1_BND	HC2_ACS	5960	922	47	47	33946	42581	354	1575	0.9999999999999255	1.0000000000000346	0.010428327343427803	0.03698832812756862	-0.02673668502435343	0.3606811696308569	8.553E-6	0.019639918370512734	0.009107381600246194	0.20448061541613005	0.12585531344243958	0.3777314507805536	0.10428821738245202	0.0068763716	0.07218978380253725	HC1	BND	H	conv:MiXcr	HC2	ACS	H	conv:MiXcr
HC1_BND	HC4_ACS	5960	627	17	17	33946	28636	139	7725	0.9999999999999255	0.999999999999995	0.004094738702645378	0.26976533035340133	0.248865315463762	0.5214892723982849	4.5492E-6	0.0332358020638887	0.024558590476376516	0.2728279465819117	0.16996981290800148	0.45910492663163566	0.08619198955236942	0.002587519	0.014806214757825897	HC1	BND	H	conv:MiXcr	HC4	ACS	H	conv:MiXcr
HC1_BND	HC1_MEMORY	5960	6192	125	125	33946	39976	1312	3769	0.9999999999999255	1.0000000000000477	0.03864961998468158	0.09428156894136483	0.15252795189562257	0.09379016907487188	3.3871E-6	0.06036511253317854	0.03986853701574413	0.09697859513869778	0.06908243006266886	0.165676792001733	0.044822674692455745	0.0103932818	0.18436235628577063	HC1	BND	H	conv:MiXcr	HC1	MEMORY	H	conv:MiXcr
HC1_BND	HC2_MEMORY	5960	7208	126	126	33946	56681	1243	5408	0.9999999999999255	0.9999999999999554	0.03661697990926768	0.09541116070640952	0.1731266163990731	0.17538478155655615	2.933E-6	0.05910726312989384	0.040449875839725244	0.09708672171177296	0.06963840250125387	0.16775272235397148	0.04446256365084282	0.0096610949	0.17678798508877533	HC1	BND	H	conv:MiXcr	HC2	MEMORY	H	conv:MiXcr
