1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_SampleID	1_CellType	1_SampleType	1_..filter..	2_SampleID	2_CellType	2_SampleType	2_..filter..
HC257_BND	HC257_NAIVE	41400	84457	175	175	350143	401135	1508	2232	0.9999999999991013	1.0000000000014087	0.00430681178832649	0.005564211549727651	-0.08240899200031489	-0.22100065626427992	5.0E-8	0.004895305087030782	0.002272918384085796	0.01230187047143826	0.00877452660423734	0.027176505914099897	0.0019441509440238042	0.001392403	0.023030579393272573	HC257	BND	H	conv:MiXcr	HC257	NAIVE	H	conv:MiXcr
HC257_BND	HC257_ACS	41400	8243	136	136	350143	347723	12851	26299	0.9999999999991013	0.9999999999999264	0.03670214740834461	0.07563204044598718	0.2635539764025868	0.012227031572423662	3.985E-7	0.052686414731337554	0.02885841468208267	0.057731784672920526	0.04092491441706648	0.11226753313880676	0.0449104221407088	0.0027470863	0.3558901979478861	HC257	BND	H	conv:MiXcr	HC257	ACS	H	conv:MiXcr
HC257_BND	HC257_MEMORY	41400	36735	317	317	350143	317648	13149	13842	0.9999999999991013	0.9999999999994682	0.03755322825245693	0.043576537550999814	0.004538665051724624	0.18138106500732415	2.084E-7	0.04045293142782679	0.023153526066899105	0.047684699700992206	0.03272557447771637	0.08200304087593914	0.03797854337944971	0.0040736076	0.10202489831125401	HC257	BND	H	conv:MiXcr	HC257	MEMORY	H	conv:MiXcr
HC257_BND	S253_BND	41400	5284	44	44	350143	294508	177	33962	0.9999999999991013	1.0000000000000415	5.055077496908409E-4	0.11531775028182595	-0.08705455229581802	-0.214932557002113	2.011E-7	0.007635051829842163	0.00215479293758811	0.08405988033735202	0.06018660803355381	0.18482806102354546	0.03357922837034942	9.433962E-4	1.8252235247313454E-4	HC257	BND	H	conv:MiXcr	S253	BND	S	conv:MiXcr
HC257_BND	S253_NAIVE	41400	28793	13	13	350143	316319	156	239	0.9999999999991013	0.9999999999991757	4.455322539648087E-4	7.55566374451108E-4	-0.07146050634866108	-0.09456668988697665	1.09E-8	5.801975437979902E-4	3.6912679093632127E-4	0.06376119610257715	0.04987321730548136	0.1109881546178873	0.010783046789327313	1.85238E-4	0.28323258595209877	HC257	BND	H	conv:MiXcr	S253	NAIVE	S	conv:MiXcr
HC257_BND	S253_ACS	41400	1749	4	4	350143	395945	19	174	0.9999999999991013	1.0000000000000135	5.426354375212413E-5	4.394549748071071E-4	0.7336041484035752	0.7745966692414834	5.52E-8	1.5442274525643578E-4	1.1895044399791125E-4	0.3484063007603865	0.1887725198849346	0.5480969762050284	0.1603957595466861	9.27106E-5	0.11909072292495328	HC257	BND	H	conv:MiXcr	S253	ACS	S	conv:MiXcr
HC257_BND	S253_MEMORY	41400	6414	5	5	350143	270258	78	8	0.9999999999991013	1.0000000000002103	2.227661269824043E-4	2.9601343901013105E-5	-0.0712269662524897	0.22941573387056163	1.88E-8	8.120453641455571E-5	6.74781529621705E-5	0.11191291086871971	0.06572217499835481	0.1891573333277901	0.026435504540401823	1.045828E-4	0.1167697430650026	HC257	BND	H	conv:MiXcr	S253	MEMORY	S	conv:MiXcr
HC257_NAIVE	HC257_ACS	84457	8243	134	134	401135	347723	446	61855	1.0000000000014087	0.9999999999999264	0.0011118451394169027	0.17788584591758386	-0.07380432839520604	0.004615752690158982	1.925E-7	0.014063481544572444	0.00842219817342434	0.08279484409795003	0.05134375845643912	0.12854641271774322	0.03537096325946075	0.0014476158	0.00300664956265642	HC257	NAIVE	H	conv:MiXcr	HC257	ACS	H	conv:MiXcr
HC257_NAIVE	HC257_MEMORY	84457	36735	305	305	401135	317648	3512	5582	1.0000000000014087	0.9999999999994682	0.008755157241327732	0.017572910895078803	-0.150756288013926	-0.32461006425367833	9.83E-8	0.012403773541719317	0.0056929992241826705	0.0569578738703677	0.03512933950173775	0.08014845684896296	0.02797697469740754	0.0025230174	0.03929605178598635	HC257	NAIVE	H	conv:MiXcr	HC257	MEMORY	H	conv:MiXcr
HC257_NAIVE	S253_BND	84457	5284	7	7	401135	294508	164	542	1.0000000000014087	1.0000000000000415	4.088399167362609E-4	0.001840357477555788	0.8255928650957747	0.7092993656151906	1.57E-8	8.674166230185259E-4	7.383459661339691E-4	0.08837859435124525	0.058324976506291586	0.1707099183800227	0.027534636715386765	7.80083E-5	0.29581015129775806	HC257	NAIVE	H	conv:MiXcr	S253	BND	S	conv:MiXcr
HC257_NAIVE	S253_NAIVE	84457	28793	36	36	401135	316319	371	1378	1.0000000000014087	0.9999999999991757	9.248756652997118E-4	0.004356361774031909	-0.1159140406190028	-0.0788493301138211	1.48E-8	0.0020072600713519897	0.0012463999259141219	0.05306641937057861	0.03555994411160436	0.07958019730004344	0.004632138602981736	3.179819E-4	0.10330035099006342	HC257	NAIVE	H	conv:MiXcr	S253	NAIVE	S	conv:MiXcr
HC257_NAIVE	S253_ACS	84457	1749	3	3	401135	395945	60	173	1.0000000000014087	1.0000000000000135	1.4957557929375396E-4	4.369293715036179E-4	-0.1974367974347461	0.0	2.03E-8	2.5564421341604717E-4	1.4623454128919779E-4	0.35003789856399964	0.19515164651489764	0.5494803597258731	0.1485077401627459	3.48016E-5	0.16435591698110474	HC257	NAIVE	H	conv:MiXcr	S253	ACS	S	conv:MiXcr
HC257_NAIVE	S253_MEMORY	84457	6414	3	3	401135	270258	60	5	1.0000000000014087	1.0000000000002103	1.4957557929375396E-4	1.850083993813319E-5	0.9904285325411115	0.8660254037844386	5.5E-9	5.260488429002854E-5	5.023002305097181E-5	0.10890934814715121	0.06488115604312074	0.18426844281368412	0.01743442601126964	3.30149E-5	0.18684649466604486	HC257	NAIVE	H	conv:MiXcr	S253	MEMORY	S	conv:MiXcr
HC257_ACS	HC257_MEMORY	8243	36735	538	538	347723	317648	78278	32439	0.9999999999999264	0.9999999999994682	0.22511596874523782	0.10212247519266603	0.1930366263194323	0.0892666938079154	1.7767E-6	0.15162255746971995	0.09209928928739984	0.037791314364853175	0.01971058856115817	0.06720776718825289	0.006032377904040651	0.0121062106	0.22577757571154183	HC257	ACS	H	conv:MiXcr	HC257	MEMORY	H	conv:MiXcr
HC257_ACS	S253_BND	8243	5284	9	9	347723	294508	37	211	0.9999999999999264	1.0000000000000415	1.0640653623717727E-4	7.164491287163676E-4	-0.13995789289196087	-0.25142939987055224	2.066E-7	2.76106628274028E-4	9.527716343981297E-5	0.14395490915699846	0.07646091519048076	0.2263319869508183	0.02468954407339834	6.65779E-4	0.011053545274724182	HC257	ACS	H	conv:MiXcr	S253	BND	S	conv:MiXcr
HC257_ACS	S253_NAIVE	8243	28793	11	11	347723	316319	18	85	0.9999999999999264	0.9999999999991757	5.176534195322139E-5	2.687160745955824E-4	-0.2376515832770459	-0.231878075419961	4.63E-8	1.1794142397719161E-4	8.600456802218239E-5	0.1138075292470901	0.07006972767857567	0.16821947339864834	0.02014194730001206	2.970966E-4	0.10164648537251979	HC257	ACS	H	conv:MiXcr	S253	NAIVE	S	conv:MiXcr
HC257_ACS	S253_ACS	8243	1749	53	53	347723	395945	2803	156401	0.9999999999999264	1.0000000000000135	0.008061014083048873	0.3950068822690021	-0.0778180831807399	-0.5777368764333346	3.6762E-6	0.05642832658223752	0.0034405411089962552	0.30768844515216237	0.16779216779268646	0.4896298310991767	0.13096990913298873	0.0053325284	5.5860104330980884E-5	HC257	ACS	H	conv:MiXcr	S253	ACS	S	conv:MiXcr
HC257_ACS	S253_MEMORY	8243	6414	10	10	347723	270258	1845	15	0.9999999999999264	1.0000000000002103	0.005305947550205193	5.550251981439958E-5	-0.13026237246952127	0.0042197473628490904	1.891E-7	5.426725154634503E-4	2.541821484985533E-4	0.12286095429612989	0.06278157958871101	0.1893276604997605	0.02632463889354603	6.827337E-4	0.002207635234306945	HC257	ACS	H	conv:MiXcr	S253	MEMORY	S	conv:MiXcr
HC257_MEMORY	S253_BND	36735	5284	5	5	317648	294508	54	516	0.9999999999994682	1.0000000000000415	1.6999949629778872E-4	0.0017520746465291266	-0.3691740445100939	-0.051298917604258434	2.58E-8	5.457580117470359E-4	3.880824736953221E-4	0.11448001920034571	0.06106285484123395	0.18196825861939506	0.03168742445642668	1.190079E-4	0.08497694782964618	HC257	MEMORY	H	conv:MiXcr	S253	BND	S	conv:MiXcr
HC257_MEMORY	S253_NAIVE	36735	28793	9	9	317648	316319	137	39	0.9999999999994682	0.9999999999991757	4.312950183851307E-4	1.2329325775562014E-4	-0.2833028751938411	-0.28100157968491396	8.5E-9	2.3059871610759858E-4	1.6049928170893605E-4	0.08788340566081161	0.05298189594446242	0.12170329252833202	0.013266184901870015	1.373647E-4	0.20445895911664233	HC257	MEMORY	H	conv:MiXcr	S253	NAIVE	S	conv:MiXcr
HC257_MEMORY	S253_ACS	36735	1749	11	11	317648	395945	204	302	0.9999999999994682	1.0000000000000135	6.42220319347202E-4	7.627321976537145E-4	-0.26464976827904335	-0.5271511638178968	1.712E-7	6.998872163095721E-4	2.672335032670156E-4	0.2988275798129428	0.16039371126020388	0.5000751516855475	0.12087494086734539	2.859148E-4	0.0972818790430235	HC257	MEMORY	H	conv:MiXcr	S253	ACS	S	conv:MiXcr
HC257_MEMORY	S253_MEMORY	36735	6414	46	46	317648	270258	867	28142	0.9999999999994682	1.0000000000002103	0.0027294363572256094	0.10413012750778895	-0.17916807477190738	-0.6801672033437374	1.952E-7	0.016858723436319185	0.0026212855122743164	0.08515120245583488	0.04366515378800933	0.15101297762636745	0.02593808866653521	0.0010672111	4.205379364113243E-4	HC257	MEMORY	H	conv:MiXcr	S253	MEMORY	S	conv:MiXcr
